qa,context
what is the purpose of the control panel?,"Control panel shall be provided with means to indicate control andexposure parameters including tube potential, exposure time and tubecurrent/integral exposure in mAs. A clearly marked and identifiableindicator shall be provided at the control panel to show whether the X-ray beam is ""ON"" or ""OFF""."
what is the exposure time?,"Control panel shall be provided with means to indicate control andexposure parameters including tube potential, exposure time and tubecurrent/integral exposure in mAs. A clearly marked and identifiableindicator shall be provided at the control panel to show whether the X-ray beam is ""ON"" or ""OFF""."
what are the control and exposure parameters?,"Control panel shall be provided with means to indicate control andexposure parameters including tube potential, exposure time and tubecurrent/integral exposure in mAs. A clearly marked and identifiableindicator shall be provided at the control panel to show whether the X-ray beam is ""ON"" or ""OFF""."
how does the control panel ensure that repeated exposures are not possible?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
how does the control panel terminate x-ray exposure?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
what is the maximum range of exposure for the short exposure timer?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
what is the purpose of the control panel?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
what is the maximum range of exposure for the mechanical timer?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
what is the purpose of the exposure devices?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
how does the control panel ensure that inadvertent exposure is not possible?,"Control panel shall have provision to terminate X-ray exposureautomatically after a pre-set time or manually at any moment before thistime by removing pressure from it.  Pre-set time shall be such that it shallassure a net optical density (OD) within ± 0.15 OD on the films necessaryfor a clear X-ray of breast.  When mechanical timer is provided, repeatedexposures shall not be possible without resetting the timer.  The timershall be capable of accurately reproducing short exposure of 0.05 s andits maximum range of exposure shall not exceed 5 s.  The exposure deviceshall be so arranged that inadvertent exposure is not possible."
what is the degree of uniform thickness of the compressed breast?,A device for maintaining firm breast compression shall be provided toassure uniform thickness of the compressed breast. The degree of
what is the purpose of the device for maintaining firm breast compression?,A device for maintaining firm breast compression shall be provided toassure uniform thickness of the compressed breast. The degree of
what is the maximum attenuation of the beam during exposure?,compression shall be smoothly adjustable and shall remain at the set levelduring exposure. The compression plate shall not attenuate the beam bymore than 2 mm tissue equivalent material.
what is the purpose of the compression plate?,compression shall be smoothly adjustable and shall remain at the set levelduring exposure. The compression plate shall not attenuate the beam bymore than 2 mm tissue equivalent material.
what is the difference between a fixed and variable collimator?,"Tube housing of X-ray equipment designed for a fixed image receptorsize and fixed target-to-fluorescent screen distance shall be provided withsuch beam limiting device that the equipment becomes inoperative if apart of the useful beam at the plane of fluorescent screen extends beyondthe area of fluorescent screen.  When the photofluorographic equipmentis designed for a variable image receptor size and variable target-to-receptor distance, the collimator shall be adjustable and shall give arectangular beam."
what is the purpose of the beam limiting device in x-ray equipment?,"Tube housing of X-ray equipment designed for a fixed image receptorsize and fixed target-to-fluorescent screen distance shall be provided withsuch beam limiting device that the equipment becomes inoperative if apart of the useful beam at the plane of fluorescent screen extends beyondthe area of fluorescent screen.  When the photofluorographic equipmentis designed for a variable image receptor size and variable target-to-receptor distance, the collimator shall be adjustable and shall give arectangular beam."
what is the difference between fixed and variable image receptor sizes?,"Tube housing of X-ray equipment designed for a fixed image receptorsize and fixed target-to-fluorescent screen distance shall be provided withsuch beam limiting device that the equipment becomes inoperative if apart of the useful beam at the plane of fluorescent screen extends beyondthe area of fluorescent screen.  When the photofluorographic equipmentis designed for a variable image receptor size and variable target-to-receptor distance, the collimator shall be adjustable and shall give arectangular beam."
what is the difference between a rectangular and circular beam?,"Tube housing of X-ray equipment designed for a fixed image receptorsize and fixed target-to-fluorescent screen distance shall be provided withsuch beam limiting device that the equipment becomes inoperative if apart of the useful beam at the plane of fluorescent screen extends beyondthe area of fluorescent screen.  When the photofluorographic equipmentis designed for a variable image receptor size and variable target-to-receptor distance, the collimator shall be adjustable and shall give arectangular beam."
what is the difference between a fixed and variable target-to-receptor distance?,"Tube housing of X-ray equipment designed for a fixed image receptorsize and fixed target-to-fluorescent screen distance shall be provided withsuch beam limiting device that the equipment becomes inoperative if apart of the useful beam at the plane of fluorescent screen extends beyondthe area of fluorescent screen.  When the photofluorographic equipmentis designed for a variable image receptor size and variable target-to-receptor distance, the collimator shall be adjustable and shall give arectangular beam."
what is the size of the protective flaps?,Protective flaps of 0.25 mm lead equivalence shall be provided on thebracket attached to the bottom of fluorescent screen mounting such thatit can be swivelled into place to protect against scattered radiation.
what is the purpose of the protective flaps on the bracket?,Protective flaps of 0.25 mm lead equivalence shall be provided on thebracket attached to the bottom of fluorescent screen mounting such thatit can be swivelled into place to protect against scattered radiation.
what is the purpose of the beam axis?,Means shall be provided to ensure that the beam axis will be perpendicularto the plane of the screen and pass through the centre of screen.
what is the distance between the beam axis and the plane of the screen?,Means shall be provided to ensure that the beam axis will be perpendicularto the plane of the screen and pass through the centre of screen.
what is the purpose of the interlock arrangement on the film holder mechanism?,Mass miniature radiography X-ray unit shall be provided with an interlockarrangement on the film holder mechanism such that it shall not bepossible to take more than one film exposure without resetting each time.
what is the purpose of the visual/aural indicator device?,"Sub-section 2.1.10 shall apply. Further, a back-up or safety timer shall alsobe provided to safeguard against failure of the phototimer.  There shallalso be a visual/aural indicator device to alert the operator in casephototimer fails to terminate the exposure."
what is the purpose of the phototimer?,"Sub-section 2.1.10 shall apply. Further, a back-up or safety timer shall alsobe provided to safeguard against failure of the phototimer.  There shallalso be a visual/aural indicator device to alert the operator in casephototimer fails to terminate the exposure."
what is the purpose of the back-up timer?,"Sub-section 2.1.10 shall apply. Further, a back-up or safety timer shall alsobe provided to safeguard against failure of the phototimer.  There shallalso be a visual/aural indicator device to alert the operator in casephototimer fails to terminate the exposure."
what is the purpose of beam-limiting devices in tube housing?,The tube housing shall be provided with beam-limiting devices so thatunattenuated primary beam at the plane of detector shall not exceed theuseful dimension of detector by more than 20%.
what is the useful dimension of detector for unattenuated primary beam?,The tube housing shall be provided with beam-limiting devices so thatunattenuated primary beam at the plane of detector shall not exceed theuseful dimension of detector by more than 20%.
what is the purpose of the filter in the tube housing?,Tube housing shall be provided with filter for both beam-hardening andbeam-flattening (bow-tie filter).
what is the range of the position of slice plane(s) on the patient?,A scan plane visualisation device shall be provided to indicate directlyor indirectly the position of slice plane(s) (tomographic plane or areference plane offset from the tomographic plane) on the patientwithin ±  2 mm.
what is the purpose of the scan plane visualisation device?,A scan plane visualisation device shall be provided to indicate directlyor indirectly the position of slice plane(s) (tomographic plane or areference plane offset from the tomographic plane) on the patientwithin ±  2 mm.
what is the direction of motion of the couch?,The accuracy of positioning of the patient couch shall be ± 2 mm andindependent of the direction of motion of the couch.
what is the minimum accuracy of positioning of the patient couch?,The accuracy of positioning of the patient couch shall be ± 2 mm andindependent of the direction of motion of the couch.
what are the visual indicators used to indicate x-ray scanning is in progress?,Visual indicators shall be provided on the control console and on thegantry of the scanning system to indicate whether X-ray scanning is inprogress. Indicators on the gantry housing of the scanning mechanismshall be discernible from any point external to the patient side of thegantry.
what are the visual indicators on the gantry housing of the scanning mechanism made of?,Visual indicators shall be provided on the control console and on thegantry of the scanning system to indicate whether X-ray scanning is inprogress. Indicators on the gantry housing of the scanning mechanismshall be discernible from any point external to the patient side of thegantry.
what is the maximum deviation of indicated scan increment from actual scan increment allowed?,The deviation of indicated scan increment from actual scan increment shallnot exceed ± 0.5 mm with a weight of 100 kg simulating a human bodyon the patient couch.
how does the weight of 100 kg affect the accuracy of the scan increment?,The deviation of indicated scan increment from actual scan increment shallnot exceed ± 0.5 mm with a weight of 100 kg simulating a human bodyon the patient couch.
what is the maximum amount of lead required for shielding in ct systems?,Housing and supporting plates of image receptor of a CT system shallprovide shielding equivalent to at least 2 mm lead for 100 kVp. From 100to 150 kVp an additional lead equivalent of 0.01 mm per kVp shall berequired. The lead equivalence shall be clearly stated on the equipment.
what is the lead equivalent for shielding in ct systems?,Housing and supporting plates of image receptor of a CT system shallprovide shielding equivalent to at least 2 mm lead for 100 kVp. From 100to 150 kVp an additional lead equivalent of 0.01 mm per kVp shall berequired. The lead equivalence shall be clearly stated on the equipment.
what is the minimum amount of lead required for shielding in ct systems?,Housing and supporting plates of image receptor of a CT system shallprovide shielding equivalent to at least 2 mm lead for 100 kVp. From 100to 150 kVp an additional lead equivalent of 0.01 mm per kVp shall berequired. The lead equivalence shall be clearly stated on the equipment.
what are the permanent markings used to indicate ct conditions of operation?,"CT conditions of operation to be used during a scan or scan sequenceshall be indicated prior to initiation sequence.  For equipment having allor some of these conditions of operation at fixed values, this requirementshall be met by permanent markings. Indication of CT conditions ofoperation shall be visible from any position from which scan initiationis possible."
how are ct conditions of operation indicated prior to initiation sequence?,"CT conditions of operation to be used during a scan or scan sequenceshall be indicated prior to initiation sequence.  For equipment having allor some of these conditions of operation at fixed values, this requirementshall be met by permanent markings. Indication of CT conditions ofoperation shall be visible from any position from which scan initiationis possible."
what is the difference between the automatic and manual termination of x-ray exposure?,"Means shall be provided to terminate X-ray exposure automatically assoon as the selected scan has been completed or in the event ofequipment failure affecting data collection.  Means shall also be providedso that the operator can terminate the X-ray exposure at any time duringa scan or a series of scans under X-ray system control of greater than0.5 second duration. A visible signal shall indicate when the X-rayexposure has been terminated through these means, and manual resettingof the CT conditions of operation shall be required prior to initiation ofanother scan. A back-up timer or device shall also be provided to monitorequipment function, and if the timer fails, it shall terminate the exposureat 110 percent of set value of total scan time."
what is the purpose of the back-up timer?,"Means shall be provided to terminate X-ray exposure automatically assoon as the selected scan has been completed or in the event ofequipment failure affecting data collection.  Means shall also be providedso that the operator can terminate the X-ray exposure at any time duringa scan or a series of scans under X-ray system control of greater than0.5 second duration. A visible signal shall indicate when the X-rayexposure has been terminated through these means, and manual resettingof the CT conditions of operation shall be required prior to initiation ofanother scan. A back-up timer or device shall also be provided to monitorequipment function, and if the timer fails, it shall terminate the exposureat 110 percent of set value of total scan time."
what is the difference between a localization exposure and a warm-up condition?,"Initiation of an exposure shall not be possible if the scanning motor failsto start, unless warm-up conditions are met or a localisation exposure hasbeen selected.  If the warm-up facility is provided on a CT system, thereshall be a clear indication on the control panel when the warm-up modehas been selected, and there shall be a device which de-energises theX-ray tube on completion of the desired warm-up phase."
what is the purpose of the warm-up facility on a ct system?,"Initiation of an exposure shall not be possible if the scanning motor failsto start, unless warm-up conditions are met or a localisation exposure hasbeen selected.  If the warm-up facility is provided on a CT system, thereshall be a clear indication on the control panel when the warm-up modehas been selected, and there shall be a device which de-energises theX-ray tube on completion of the desired warm-up phase."
what is the difference between a warm-up condition and a localization exposure?,"Initiation of an exposure shall not be possible if the scanning motor failsto start, unless warm-up conditions are met or a localisation exposure hasbeen selected.  If the warm-up facility is provided on a CT system, thereshall be a clear indication on the control panel when the warm-up modehas been selected, and there shall be a device which de-energises theX-ray tube on completion of the desired warm-up phase."
what is the difference between a warm-up mode and a localization exposure?,"Initiation of an exposure shall not be possible if the scanning motor failsto start, unless warm-up conditions are met or a localisation exposure hasbeen selected.  If the warm-up facility is provided on a CT system, thereshall be a clear indication on the control panel when the warm-up modehas been selected, and there shall be a device which de-energises theX-ray tube on completion of the desired warm-up phase."
what is the useful beam size for general fluoroscopy?,Tube housing shall conform to leakage radiation levels prescribed forradiography equipment in 2.1.1. The useful beam shall have a totalfiltration of not less than 2.0 mm aluminium for general fluoroscopy.
what is the leakage radiation level prescribed for radiography equipment?,Tube housing shall conform to leakage radiation levels prescribed forradiography equipment in 2.1.1. The useful beam shall have a totalfiltration of not less than 2.0 mm aluminium for general fluoroscopy.
what is the total filtration of the useful beam for general fluoroscopy?,Tube housing shall conform to leakage radiation levels prescribed forradiography equipment in 2.1.1. The useful beam shall have a totalfiltration of not less than 2.0 mm aluminium for general fluoroscopy.
what is the recommended thickness of the protective lead glass covering for fluorescent screens?,Protective lead glass covering of the fluorescent screen shall have a leadequivalent thickness of 2.0 mm for units operating up to 100 kVp.  Forunits operating at higher kilovoltages the lead equivalence shall beincreased at the rate of 0.01 mm per kVp.
what is the bucky-slot provided with?,"X-ray table and fluoroscopy screen shall be provided with means ofadequate protection for the radiologist and other staff against scatteredX-rays. Protective flaps having lead equivalence of not less than 0.5 mmand sufficient dimensions to protect the radiologist shall be so providedthat they are suspended (a) from the bottom of the screen such that theflaps overlap the fluoroscopic chair in vertical fluoroscopy, and (b) fromthe edge of the screen, nearest to the radiologist, such that the flapsextend down to the table top in case of horizontal fluoroscopy.  The'bucky-slot' shall be provided with a cover of 0.5 mm lead equivalenceon the radiologist's side."
what is the lead equivalence of the protective flaps?,"X-ray table and fluoroscopy screen shall be provided with means ofadequate protection for the radiologist and other staff against scatteredX-rays. Protective flaps having lead equivalence of not less than 0.5 mmand sufficient dimensions to protect the radiologist shall be so providedthat they are suspended (a) from the bottom of the screen such that theflaps overlap the fluoroscopic chair in vertical fluoroscopy, and (b) fromthe edge of the screen, nearest to the radiologist, such that the flapsextend down to the table top in case of horizontal fluoroscopy.  The'bucky-slot' shall be provided with a cover of 0.5 mm lead equivalenceon the radiologist's side."
how are the protective flaps suspended from the bottom of the screen?,"X-ray table and fluoroscopy screen shall be provided with means ofadequate protection for the radiologist and other staff against scatteredX-rays. Protective flaps having lead equivalence of not less than 0.5 mmand sufficient dimensions to protect the radiologist shall be so providedthat they are suspended (a) from the bottom of the screen such that theflaps overlap the fluoroscopic chair in vertical fluoroscopy, and (b) fromthe edge of the screen, nearest to the radiologist, such that the flapsextend down to the table top in case of horizontal fluoroscopy.  The'bucky-slot' shall be provided with a cover of 0.5 mm lead equivalenceon the radiologist's side."
what is the relationship between the x-ray tube and fluoroscopic screen in x-ray imaging?,X-ray tube and fluoroscopic screen shall be rigidly coupled and alignedso that both move together synchronously and the X-ray beam axispasses through the centre of the screen in all positions of the tube andscreen.
what is the purpose of the x-ray tube and fluoroscopic screen in x-ray imaging?,X-ray tube and fluoroscopic screen shall be rigidly coupled and alignedso that both move together synchronously and the X-ray beam axispasses through the centre of the screen in all positions of the tube andscreen.
how do the x-ray tube and fluoroscopic screen work together to produce accurate images?,X-ray tube and fluoroscopic screen shall be rigidly coupled and alignedso that both move together synchronously and the X-ray beam axispasses through the centre of the screen in all positions of the tube andscreen.
what is the control mechanism of the diaphragm?,"Tube housing shall be provided with a field-limiting diaphragm.  Its controlmechanism shall be so mechanically restricted that even when thediaphragm is fully opened and the screen is at the maximum distance fromthe table, there is still an unilluminated margin of at least 1 cm all alongthe edges of the screen.  The diaphragm control knobs shall be locatedon the frame of the fluorescent screen and provided with local shieldingof at least 0.25 mm lead equivalence."
what is the purpose of the field-limiting diaphragm in the tube housing?,"Tube housing shall be provided with a field-limiting diaphragm.  Its controlmechanism shall be so mechanically restricted that even when thediaphragm is fully opened and the screen is at the maximum distance fromthe table, there is still an unilluminated margin of at least 1 cm all alongthe edges of the screen.  The diaphragm control knobs shall be locatedon the frame of the fluorescent screen and provided with local shieldingof at least 0.25 mm lead equivalence."
what is the recommended focus-to-table top distance for fluoroscopy units?,The focus-to-table top distance shall be not less than 30 cm forfluoroscopy units.
what is the provision for an audible signal at the end of the pre-set time?,The unit shall have a cumulative timer and its maximum range shall notexceed 5 minutes. There shall also be provision for an audible signal atthe end of the pre-set time.
what is the maximum range of the timer?,The unit shall have a cumulative timer and its maximum range shall notexceed 5 minutes. There shall also be provision for an audible signal atthe end of the pre-set time.
what is the function of the cumulative timer?,The unit shall have a cumulative timer and its maximum range shall notexceed 5 minutes. There shall also be provision for an audible signal atthe end of the pre-set time.
"what visual indication should be provided on the control panel when the beam is ""on""?",A foot-operated pressure switch shall be provided for conductingfluoroscopy examinations. There shall be a visual indication on the controlpanel when the beam is “ON”.
what is the purpose of the foot-operated pressure switch?,A foot-operated pressure switch shall be provided for conductingfluoroscopy examinations. There shall be a visual indication on the controlpanel when the beam is “ON”.
what is the kerma rate due to transmission through the primary barrier?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
how does the primary barrier limit the beam for patients?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
what is the primary barrier permanently incorporated into?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
what is the kerma rate due to scatter from an attenuation block?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
what is the attenuation block in the useful beam?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
what is the primary protective barrier in fluoroscopic equipment?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
what is the maximum kerma rate allowed for the useful beam?,"Fluoroscopic equipment shall be so constructed that, under conditionsof use for patients, a primary protective barrier permanently incorporatedinto the equipment shall limit the entire section of the beam.  The exposureshall automatically terminate when this barrier is removed from the beam.The kerma rate due to transmission through the primary barrier, combinedwith scatter from an attenuation block in the useful beam, shall not exceed20 µGy per h at 10 cm from any accessible surface beyond the plane ofthe image receptor for each 1 cGy per min of block entrance kerma."
what is the arrangement of the collimators for spot filmradiography?,"An adjustable collimator shall be provided to restrict the size of the beamto the area of interest. Collimators shall be so arranged that for spot filmradiography, the shutters shall automatically change to the required fieldsize before each exposure."
what is the purpose of an adjustable collimator?,"An adjustable collimator shall be provided to restrict the size of the beamto the area of interest. Collimators shall be so arranged that for spot filmradiography, the shutters shall automatically change to the required fieldsize before each exposure."
how does an adjustable collimator restrict the size of the beam?,"An adjustable collimator shall be provided to restrict the size of the beamto the area of interest. Collimators shall be so arranged that for spot filmradiography, the shutters shall automatically change to the required fieldsize before each exposure."
what is the useful receptor area for the beam to be confined within?,X-ray tube and collimating system shall be so linked with the imagereceptor assembly that the beam is centred on the image receptorassembly.  The beam shall be confined within the useful receptor areaat all source-image receptor distances.
how does the collimating system work to center the beam on the image receptor assembly?,X-ray tube and collimating system shall be so linked with the imagereceptor assembly that the beam is centred on the image receptorassembly.  The beam shall be confined within the useful receptor areaat all source-image receptor distances.
what is the purpose of the collimating system in an x-ray tube?,X-ray tube and collimating system shall be so linked with the imagereceptor assembly that the beam is centred on the image receptorassembly.  The beam shall be confined within the useful receptor areaat all source-image receptor distances.
what is the purpose of the bucky slot closure?,"When the X-ray tube is permanently located under a table, the table shallbe provided with a bucky slot closure having lead equivalence of 0.5 mmto attenuate all scattered radiation originating under the table."
what is the lead equivalent of the bucky slot closure?,"When the X-ray tube is permanently located under a table, the table shallbe provided with a bucky slot closure having lead equivalence of 0.5 mmto attenuate all scattered radiation originating under the table."
what is the difference between the two types of units?,"The kerma rate, measured in air at the position where the centre of theuseful beam enters the patient, shall be less than 5 cGy per min for unitswithout automatic brightness control (ABC) and less than 10 cGy per minfor units with ABC."
what is the kerma rate?,"The kerma rate, measured in air at the position where the centre of theuseful beam enters the patient, shall be less than 5 cGy per min for unitswithout automatic brightness control (ABC) and less than 10 cGy per minfor units with ABC."
what is the difference between the two kerma rates?,"The kerma rate, measured in air at the position where the centre of theuseful beam enters the patient, shall be less than 5 cGy per min for unitswithout automatic brightness control (ABC) and less than 10 cGy per minfor units with ABC."
what is the maximum tube potential and current for photofluorographic spot film cameras?,"For photofluorographic spot film cameras, the entrance kerma at imageintensifier for maximum tube potential and current shall not be greaterthan 3.0 µGy per exposure.  For cine-fluorography, the entrance kermato the image intensifier shall not be more than 0.3 µGy per frame."
what is the maximum entrance kerma for photofluorographic spot film cameras?,"For photofluorographic spot film cameras, the entrance kerma at imageintensifier for maximum tube potential and current shall not be greaterthan 3.0 µGy per exposure.  For cine-fluorography, the entrance kermato the image intensifier shall not be more than 0.3 µGy per frame."
what is the maximum entrance kerma for cine-fluorography?,"For photofluorographic spot film cameras, the entrance kerma at imageintensifier for maximum tube potential and current shall not be greaterthan 3.0 µGy per exposure.  For cine-fluorography, the entrance kermato the image intensifier shall not be more than 0.3 µGy per frame."
what is the maximum distance between the x-ray field and the image receptor?,The length and width of X-ray field in the plane of the image receptorshall not exceed the corresponding distances of the image receptor bymore than 3% of source-to-image distance (SID).  The sum of excesslength and width shall be not greater than 4% of SID.
what are the differences between sub-sections 2.8.1 to 2.8.10?,Sub-sections 2.8.1 to 2.8.10  shall be the same as sub-sections 2.7.1 to2.7.10  respectively.
what is the minimum resolution required for an image intensifier?,Image intensifier shall have an intrinsic resolution of at least 4 line pairs
what is the modulation transfer function value of 0.1?,(lp) per mm at a modulation transfer function value of 0.1.
what is the signal-to-noise ratio of a video camera?,Video camera shall have a signal-to-noise ratio equal to or greater than500 : 1 and shall employ a progressive read-out.
what is the progressive read-out feature of a video camera?,Video camera shall have a signal-to-noise ratio equal to or greater than500 : 1 and shall employ a progressive read-out.
what is the viewing window size and lead equivalence?,The protective barrier between operator/control panel and X-ray tube/patient shall be of appropriate size and design to shield the operatoradequately against leakage and scattered radiation. It shall have aminimum lead equivalence of 1.5 mm. A viewing window of approximately1.5 mm lead equivalence shall be provided on the barrier. Lead equivalenceshall be indicated on the barrier as well as on the viewing window.
what is the minimum lead equivalence of the barrier?,The protective barrier between operator/control panel and X-ray tube/patient shall be of appropriate size and design to shield the operatoradequately against leakage and scattered radiation. It shall have aminimum lead equivalence of 1.5 mm. A viewing window of approximately1.5 mm lead equivalence shall be provided on the barrier. Lead equivalenceshall be indicated on the barrier as well as on the viewing window.
what is the minimum lead equivalence of the viewing window?,The protective barrier between operator/control panel and X-ray tube/patient shall be of appropriate size and design to shield the operatoradequately against leakage and scattered radiation. It shall have aminimum lead equivalence of 1.5 mm. A viewing window of approximately1.5 mm lead equivalence shall be provided on the barrier. Lead equivalenceshall be indicated on the barrier as well as on the viewing window.
what is the purpose of the protective barrier between the operator and the control panel?,The protective barrier between operator/control panel and X-ray tube/patient shall be of appropriate size and design to shield the operatoradequately against leakage and scattered radiation. It shall have aminimum lead equivalence of 1.5 mm. A viewing window of approximately1.5 mm lead equivalence shall be provided on the barrier. Lead equivalenceshall be indicated on the barrier as well as on the viewing window.
what is the purpose of the protective barrier between the operator and the x-ray tube?,The protective barrier between operator/control panel and X-ray tube/patient shall be of appropriate size and design to shield the operatoradequately against leakage and scattered radiation. It shall have aminimum lead equivalence of 1.5 mm. A viewing window of approximately1.5 mm lead equivalence shall be provided on the barrier. Lead equivalenceshall be indicated on the barrier as well as on the viewing window.
what is the minimum lead equivalence of a fluoroscopy chair?,Fluoroscopy chair shall have a minimum of 1.5 mm lead equivalence andits design shall ensure adequate protection to the radiologist againstscattered radiation.
how does the design of a fluoroscopy chair ensure adequate protection against scattered radiation?,Fluoroscopy chair shall have a minimum of 1.5 mm lead equivalence andits design shall ensure adequate protection to the radiologist againstscattered radiation.
what is the minimum lead equivalence of protective aprons?,Protective aprons shall have a minimum lead equivalence of 0.25 mm andtheir size/design shall ensure adequate protection to the torso and gonadsof the radiologist against scattered radiation.
what is the minimum lead equivalence of protective gloves?,Protective gloves shall have a minimum lead equivalence of 0.25 mm andthe design shall ensure adequate protection against scattered radiationreaching the hands and wrists and shall permit easy movements of hands/fingers.
how do protective gloves ensure easy movements of hands/fingers?,Protective gloves shall have a minimum lead equivalence of 0.25 mm andthe design shall ensure adequate protection against scattered radiationreaching the hands and wrists and shall permit easy movements of hands/fingers.
what design features are required for adequate radiation protection?,Protective gloves shall have a minimum lead equivalence of 0.25 mm andthe design shall ensure adequate protection against scattered radiationreaching the hands and wrists and shall permit easy movements of hands/fingers.
what is the minimum lead equivalence of gonad shields?,Gonad shields shall have a minimum lead equivalence of 0.5 mm.
what is the design of the cassette pass box?,The cassette pass box intended for installation in the X-ray room wallshall have a shielding of 2.0 mm lead equivalence.  The design shall besuch that the pass box can be opened from one side at a time.
what is the shielding of the cassette pass box?,The cassette pass box intended for installation in the X-ray room wallshall have a shielding of 2.0 mm lead equivalence.  The design shall besuch that the pass box can be opened from one side at a time.
